section,subsection,shapefile,heading,lookup_value,intensity,image,text
What to Expect,Ground Shaking,EQ_Fault_Shaking,Earthquake,1,10,,"If a small earthquake hits somewhere in Missoula County, you will experience intensity 1 shaking. You probably won't feel a thing. If you do, it will be slight and won't cause any damage. <a href=http://hazardready.org/static/img/data/EQ_mostlike.jpg target=_blank>(source)</a>"
What to Expect,Ground Shaking,EQ_Fault_Shaking,Earthquake,2,25,,"If a small earthquake hits near here, you will experience intensity 2 shaking. A few people will notice slight shaking, typically those upstairs. Hanging lights might swing and trees wave. <a href=http://hazardready.org/static/img/data/EQ_mostlike.jpg target=_blank>(source)</a>"
What to Expect,Ground Shaking,EQ_Fault_Shaking,Earthquake,3,35,,"If a small earthquake hits near here, you will experience intensity 3 shaking. Most people indoors and on upper floors of buildings feel the shaking. It will cause parked cars rock slightly. It will feel similar to trucks passing by on a paved road. <a href=http://hazardready.org/static/img/data/EQ_mostlike.jpg target=_blank>(source)</a>"
What to Expect,Ground Shaking,EQ_Fault_Shaking,Earthquake,4,50,,"If a small earthquake hits near here, you will experience intensity 4 shaking. Many people will feel the shaking and some people sleeping will wake up. Windows, dishes, and doors will shift. It will feel similar to a truck hitting a building. <a href=http://hazardready.org/static/img/data/EQ_mostlike.jpg target=_blank>(source)</a>"
,,,,,,,
What to Expect,Worst Case Scenario,EQ_Fault_Worst,Earthquake,1,50,,"If a magnitude 7 earthquake happens near here, you will experience intensity 3-5 shaking. The shaking will wake people up and cause dishes and windows to break. It will feel similar to a truck hitting a building. <a href=http://hazardready.org/static/img/data/EQ_worstcase.jpg target=_blank>(source)</a>"
What to Expect,Worst Case Scenario,EQ_Fault_Worst,Earthquake,2,65,,"If a magnitude 7 earthquake happens near here, you will experience intensity 6 shaking. The shaking will be scary and cause heavy furniture to move and books to fall off shelves. It will be hard to walk around. <a href=http://hazardready.org/static/img/data/EQ_worstcase.jpg target=_blank>(source)</a>"
What to Expect,Worst Case Scenario,EQ_Fault_Worst,Earthquake,3,75,,"If a magnitude 7 earthquake happens near here, you will experience intensity 7 shaking. It will be scary and hard to stand. Some people will run outside. Many buildings will be damaged and some chimneys will crack or fall. <a href=http://hazardready.org/static/img/data/EQ_worstcase.jpg target=_blank>(source)</a>"
What to Expect,Worst Case Scenario,EQ_Fault_Worst,Earthquake,4,90,,"If a magnitude 7 earthquake happens near here, you will experience intensity 8. The major shaking will be scary and everyone will run outside. It will cause chimneys, walls, and factory stacks to crack and fall. Wood-frame houses will move if they're not bolted down. <a href=http://hazardready.org/static/img/data/EQ_worstcase.jpg target=_blank>(source)</a>"
,,,,,,,
What to Expect,Potential,EQ_Fault_Buffer,Earthquake,55,90,,"You are very close (~1mi) to the Jocko fault that runs from Big Knife creek to Finley Creek. Scientists haven't seen many earthquakes here, but since the record is short, you could feel one in the future. <a href=http://hazardready.org/static/img/data/EQ_HistoricQuakes.jpg target=_blank>(source)</a> <a href=http://hazardready.org/static/img/data/EQ_HistoricQuakes.jpg target=_blank>(source)</a>"
What to Expect,Potential,EQ_Fault_Buffer,Earthquake,54,80,,"You are close (~2mi) to a fault near Ovando, MT. Scientists haven't seen many earthquakes here, but since the record is short, you could feel one in the future. <a href=http://hazardready.org/static/img/data/EQ_HistoricQuakes.jpg target=_blank>(source)</a> <a href=http://hazardready.org/static/img/data/EQ_HistoricQuakes.jpg target=_blank>(source)</a>"
What to Expect,Potential,EQ_Fault_Buffer,Earthquake,53,80,,"You are close (~2mi) to a fault near Ovando, MT. Scientists haven't seen many earthquakes here, but since the record is short, you could feel one in the future. <a href=http://hazardready.org/static/img/data/EQ_HistoricQuakes.jpg target=_blank>(source)</a> <a href=http://hazardready.org/static/img/data/EQ_HistoricQuakes.jpg target=_blank>(source)</a>"
